arrest_made,hour_sin,hour_cos,latitude_bin,longitude_bin,victim_age_bin,suspect_age_bin,weapon_used_blunt object,weapon_used_gun,weapon_used_knife,weapon_used_unknown,day_of_week_Fri,day_of_week_Mon,day_of_week_Sat,day_of_week_Sun,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed
0,1.2246467991473532e-16,-1.0,9,5,18-35,50-65,False,True,False,False,True,False,False,False,False,False,False
0,-0.7071067811865477,0.7071067811865474,9,6,0-18,50-65,False,False,False,True,True,False,False,False,False,False,False
0,0.9659258262890683,-0.25881904510252063,0,0,35-50,50-65,True,False,False,False,False,False,False,False,False,False,True
1,-0.8660254037844386,0.5000000000000001,8,9,18-35,50-65,False,True,False,False,False,False,False,False,True,False,False
0,0.49999999999999994,-0.8660254037844387,4,4,35-50,65+,False,False,False,True,False,True,False,False,False,False,False
0,0.49999999999999994,-0.8660254037844387,2,9,0-18,18-35,False,False,False,True,True,False,False,False,False,False,False
0,1.2246467991473532e-16,-1.0,8,1,35-50,18-35,False,False,False,True,False,False,False,True,False,False,False
0,0.49999999999999994,0.8660254037844387,1,9,35-50,50-65,False,False,False,True,False,False,False,False,False,True,False
0,0.9659258262890683,0.25881904510252074,9,1,50-65,35-50,False,False,False,True,False,False,False,False,False,False,True
0,-0.25881904510252157,0.9659258262890681,2,4,18-35,50-65,False,False,True,False,False,False,False,False,True,False,False
0,0.7071067811865476,-0.7071067811865475,6,9,0-18,50-65,True,False,False,False,False,False,False,True,False,False,False
0,-1.0,-1.8369701987210297e-16,2,2,50-65,35-50,False,False,True,False,False,False,False,False,True,False,False
1,0.258819045102521,-0.9659258262890682,5,0,50-65,35-50,False,False,False,True,False,False,False,False,False,True,False
0,-0.2588190451025208,-0.9659258262890683,6,7,50-65,50-65,False,True,False,False,False,False,True,False,False,False,False
1,0.49999999999999994,-0.8660254037844387,1,5,18-35,50-65,False,True,False,False,False,False,False,False,False,True,False
1,-0.8660254037844386,0.5000000000000001,5,5,50-65,18-35,False,False,True,False,False,False,True,False,False,False,False
0,0.7071067811865476,-0.7071067811865475,4,0,35-50,35-50,False,False,True,False,False,False,False,False,False,False,True
0,0.49999999999999994,0.8660254037844387,0,6,50-65,65+,False,False,True,False,False,False,False,False,False,True,False
0,1.2246467991473532e-16,-1.0,8,1,18-35,18-35,True,False,False,False,True,False,False,False,False,False,False
0,-0.9659258262890683,-0.25881904510252063,3,9,18-35,18-35,True,False,False,False,False,False,False,False,True,False,False
0,1.2246467991473532e-16,-1.0,5,6,0-18,35-50,False,True,False,False,False,False,False,True,False,False,False
0,-0.25881904510252157,0.9659258262890681,5,7,35-50,18-35,False,False,True,False,False,False,False,True,False,False,False
0,-0.2588190451025208,-0.9659258262890683,5,2,18-35,65+,True,False,False,False,False,False,True,False,False,False,False
1,-0.2588190451025208,-0.9659258262890683,1,8,18-35,18-35,False,False,True,False,False,False,False,False,False,True,False
0,1.0,6.123233995736766e-17,4,5,65+,18-35,False,False,True,False,False,True,False,False,False,False,False
1,0.258819045102521,-0.9659258262890682,4,8,35-50,35-50,True,False,False,False,False,False,False,False,False,True,False
0,0.7071067811865476,0.7071067811865476,7,2,18-35,35-50,False,False,False,True,False,False,False,True,False,False,False
0,-0.7071067811865471,-0.7071067811865479,8,7,65+,18-35,False,False,False,True,False,False,True,False,False,False,False
0,-1.0,-1.8369701987210297e-16,5,5,50-65,18-35,False,False,True,False,False,False,False,False,True,False,False
1,0.7071067811865476,-0.7071067811865475,0,0,0-18,50-65,False,True,False,False,True,False,False,False,False,False,False
1,-0.7071067811865471,-0.7071067811865479,2,4,18-35,50-65,True,False,False,False,False,False,False,True,False,False,False
0,0.8660254037844386,0.5000000000000001,1,1,35-50,18-35,False,False,False,True,False,False,False,True,False,False,False
0,-0.7071067811865471,-0.7071067811865479,1,3,35-50,0-18,True,False,False,False,False,False,False,False,False,True,False
0,0.0,1.0,3,3,50-65,0-18,True,False,False,False,True,False,False,False,False,False,False
0,0.8660254037844386,0.5000000000000001,2,4,18-35,18-35,False,False,True,False,False,True,False,False,False,False,False
0,1.2246467991473532e-16,-1.0,2,6,0-18,18-35,False,False,False,True,False,False,True,False,False,False,False
